Nombre_Fondo,Moneda,Fecha,Plazo_Liquidacion,Valor_Cuotaparte_Actual,Rendimiento_Del_Dia_%,Rendimiento_Del_Mes_%,Rendimiento_Del_Anio_%
Fima Acciones - Clase B,ARS,2026-04-08,1.0,286118.061,-1.158,-5.308,34.455
Fima Acciones - Clase E,ARS,2026-04-08,1.0,330735.237,-1.148,-5.178,
Fima PB Acciones - Clase A,ARS,2026-04-08,1.0,2920013.305,-0.826,-3.869,40.017
Fima PB Acciones - Clase B,ARS,2026-04-08,1.0,3451086.64,-0.803,-3.554,41.733
Fima PB Acciones - Clase L Ley N° 27.743,ARS,2026-04-08,1.0,1727.542,,,
Galileo Acciones - Clase A,ARS,2026-04-08,1.0,367448.017,-1.599,6.471,53.503
Galileo Acciones - Clase B,ARS,2026-04-08,1.0,404584.709,-1.571,6.897,55.828
IEB Value - Clase A,ARS,2026-04-08,2.0,49347.451,-1.084,-0.702,43.128
IEB Value - Clase B,ARS,2026-04-08,2.0,22245.588,-1.065,-0.353,45.218
IEB Value - Clase C,ARS,2026-04-08,2.0,1000,0.0,0.0,0.0
IEB Value - Clase Ley N° 27.743,ARS,2026-04-08,2.0,1401.337,0.0,-12.096,26.705
Julio A. Roca Valores Negociables,ARS,2026-04-08,2.0,111558.42,-1.368,-7.561,28.618
Lombard Acciones Lideres,ARS,2026-04-08,1.0,195539.01,-1.277,-2.697,46.096
Max Acciones Argentinas - Clase A,ARS,2026-04-08,1.0,1275.033,-1.198,-3.441,27.503
Max Acciones Argentinas - Clase B,ARS,2026-04-08,1.0,1261.334,-1.183,-3.246,26.133
Max Acciones Argentinas - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Max Acciones Argentinas - Clase D,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Max Acciones Argentinas - Clase H Ley N° 27.743,ARS,2026-04-08,1.0,1054.874,-1.198,-3.441,
MEGAQM Acciones - Clase A,ARS,2026-04-08,1.0,224713.891,-1.052,-2.385,42.755
MEGAQM Acciones- Clase B,ARS,2026-04-08,1.0,264988.721,-1.025,-2.011,44.803
MEGAQM Acciones- Clase Ley Nº 27.743,ARS,2026-04-08,1.0,1475.104,0.0,5.851,54.798
Parakeet Capital Plus - Clase A,ARS,2026-04-08,2.0,1184.311,-1.029,-0.522,15.128
Parakeet Capital Plus - Clase B,ARS,2026-04-08,2.0,1193.484,-1.019,-0.387,15.705
Parakeet Capital Plus - Clase X Ley N° 27.743,ARS,2026-04-08,2.0,1183.042,-1.029,-0.521,15.127
Pellegrini Acciones - Clase A,ARS,2026-04-08,1.0,137903.008,-1.081,-3.987,39.915
Pellegrini Acciones - Clase B,ARS,2026-04-08,1.0,144135.417,-1.072,-3.856,40.619
Pionero Acciones - Clase A,ARS,2026-04-08,1.0,1582602.524,-1.065,-3.65,35.871
Pionero Acciones - Clase B,ARS,2026-04-08,1.0,1585444.967,-1.033,,
Pionero Acciones Plus - Clase A,ARS,2026-04-08,2.0,272696.985,-1.919,-2.012,36.125
Pionero Acciones Plus - Clase B,ARS,2026-04-08,2.0,347048.897,-1.888,-1.576,38.395
SBS Acciones Argentina - Clase A,ARS,2026-04-08,1.0,1605030.274,-0.657,-3.361,43.33
SBS Acciones Argentina - Clase B,ARS,2026-04-08,1.0,1834031.398,-0.638,-3.1,44.775
SBS Acciones Argentina - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1668.533,-0.657,-3.36,43.331
SBS Tavelli Plus - Clase P,ARS,2026-04-08,1.0,3904392.521,0.405,1.859,42.456
Superfondo Acciones - Clase A,ARS,2026-04-08,2.0,492282.579,-1.903,1.966,45.736
Superfondo Acciones - Clase B,ARS,2026-04-08,2.0,763388.105,-1.878,2.327,47.665
Superfondo Acciones - Clase F Ley N° 27.743,ARS,2026-04-08,2.0,386802.342,-1.903,1.966,45.736
Superfondo Acciones - Clase H,ARS,2026-04-08,2.0,59805.123,-1.903,1.966,45.736
Superfondo Acciones - Clase I,ARS,2026-04-08,2.0,65584.529,-1.878,2.327,47.665
Toronto Trust Multimercado - Clase A,ARS,2026-04-08,1.0,340152.806,-0.189,-2.287,45.288
Toronto Trust Multimercado - Clase B,ARS,2026-04-08,1.0,368660.511,-0.178,-2.129,46.165
Toronto Trust Multimercado - Clase C,ARS,2026-04-08,1.0,363854.116,-0.183,-2.208,45.726
Toronto Trust Multimercado - Clase D,ARS,2026-04-08,1.0,6761.183,0.0,0.0,0.0
Toronto Trust Multimercado - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1666.571,-0.189,-2.287,45.288
Wise Capital Equity - Clase A,ARS,2026-04-08,1.0,761.596,-1.068,-19.095,-13.252
Wise Capital Equity - Clase B,ARS,2026-04-08,1.0,761.596,-1.068,-19.095,-13.252
Wise Capital Equity - Clase J Ley N° 27.743,ARS,2026-04-08,1.0,670.712,-1.061,-19.032,-13.184
Integrae Acciones - Clase A,ARS,2026-04-08,2.0,1520.749,,,
Integrae Acciones - Clase B,ARS,2026-04-08,2.0,1643.422,,,
Probolsa Acciones,ARS,2026-04-08,2.0,1000,,,
Superfondo Acciones Brasil - Clase C,USD,2026-04-08,5.0,2524878.859,1.692,13.881,67.202
Alpha Recursos Naturales - Clase A,ARS,2026-04-08,1.0,3683193.743,-0.761,7.186,56.618
Alpha Recursos Naturales - Clase B,ARS,2026-04-08,1.0,2265587.911,-0.809,6.371,51.343
Alpha Recursos Naturales - Clase C,ARS,2026-04-08,1.0,15.611,-0.63,3.459,-4.485
Alpha Recursos Naturales - Clase D,ARS,2026-04-08,1.0,1283.443,-1.444,9.96,44.44
Alpha Recursos Naturales - Clase I,ARS,2026-04-08,1.0,15.69,-0.633,3.462,-4.481
Alpha Recursos Naturales - Clase J,ARS,2026-04-08,1.0,1336.938,0.0,0.0,0.0
Alpha Recursos Naturales - Clase K,ARS,2026-04-08,1.0,8376.024,-0.809,6.371,51.343
Delta Internacional - Clase A,ARS,2026-04-08,1.0,765237.648,-0.607,-6.672,33.28
Delta Internacional - Clase B,ARS,2026-04-08,1.0,306991.148,-0.581,-6.32,35.16
Delta Internacional - Clase K Ley Nº 27.743,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Delta Internacional - Clase L Ley Nº 27.743,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Compass Renta Mixta Dólares - Clase D,USB,2026-04-08,2.0,563.069,0.657,1.291,-99.91
Compass Renta Mixta Dólares - Clase E,USB,2026-04-08,2.0,660.202,0.669,1.552,-99.91
Compass Renta Mixta Dólares - Clase F,USB,2026-04-08,2.0,869.55,0.686,1.909,-99.908
Delta Latinoamerica - Clase A,ARS,2026-04-08,1.0,2019255.007,2.308,22.906,71.198
